施設名,施設分類_大分類,地区,建築年度_最古棟,築年数_2026年時点,延べ床面積合計_m2,支出6年平均_円,利用者数_人,出典PDF,出典ページ
本庁舎,庁舎等施設,蒲郡北,1961,65,19817.0,249432000,,hakusho_r2kaitei.pdf,p.30
市民会館,公民館等施設,蒲郡北,1973,53,13233.0,145588000,218146,hakusho_r2kaitei.pdf,p.33
蒲郡中学校,学校教育施設,蒲郡南,1960,66,9383.0,46614000,489,hakusho_r2kaitei.pdf,p.53
形原中学校,学校教育施設,形原,1965,61,8716.0,43418000,490,hakusho_r2kaitei.pdf,p.53
三谷中学校,学校教育施設,三谷,1972,54,8032.0,47637000,299,hakusho_r2kaitei.pdf,p.53
中部中学校,学校教育施設,蒲郡北,1977,49,7640.0,42733000,347,hakusho_r2kaitei.pdf,p.53
大塚中学校,学校教育施設,大塚,1957,69,7443.0,30175000,162,hakusho_r2kaitei.pdf,p.53
塩津小学校,学校教育施設,塩津,1960,66,7278.0,38440000,530,hakusho_r2kaitei.pdf,p.49
塩津中学校,学校教育施設,塩津,1962,64,7010.0,86280000,262,hakusho_r2kaitei.pdf,p.53
西浦中学校,学校教育施設,西浦,1962,64,7004.0,41536000,108,hakusho_r2kaitei.pdf,p.53
蒲郡南部小学校,学校教育施設,蒲郡南,1949,77,6952.0,55057000,326,hakusho_r2kaitei.pdf,p.49
三谷東小学校,学校教育施設,三谷,1957,69,6765.0,39536000,317,hakusho_r2kaitei.pdf,p.49
形原北小学校,学校教育施設,形原,1966,60,6447.0,43486000,547,hakusho_r2kaitei.pdf,p.49
中央小学校,学校教育施設,蒲郡北,1966,60,6409.0,43764000,310,hakusho_r2kaitei.pdf,p.49
形原小学校,学校教育施設,形原,1967,59,6261.0,47028000,351,hakusho_r2kaitei.pdf,p.49
西浦小学校,学校教育施設,西浦,1953,73,6242.0,44679000,235,hakusho_r2kaitei.pdf,p.49
三谷小学校,学校教育施設,三谷,1957,69,6147.0,47377000,230,hakusho_r2kaitei.pdf,p.49
竹島小学校,学校教育施設,蒲郡南,1973,53,6055.0,42674000,332,hakusho_r2kaitei.pdf,p.49
大塚小学校,学校教育施設,大塚,1956,70,5405.0,34517000,290,hakusho_r2kaitei.pdf,p.49
蒲郡東部小学校,学校教育施設,蒲郡南,1966,60,5231.0,35865000,291,hakusho_r2kaitei.pdf,p.49
武道館,運動・公園施設,,1980,46,5049.0,,,hakusho_r2kaitei.pdf,p.43
蒲郡北部小学校,学校教育施設,蒲郡北,1952,74,4854.0,42234000,314,hakusho_r2kaitei.pdf,p.49
蒲郡西部小学校,学校教育施設,蒲郡北,1952,74,3756.0,40451000,71,hakusho_r2kaitei.pdf,p.49
勤労福祉会館,保健・福祉施設,蒲郡南,1980,46,3174.0,32425000,,hakusho_r2kaitei.pdf,p.73
博物館,生涯学習施設,蒲郡北,1978,48,2364.0,45738000,32288,hakusho_r2kaitei.pdf,p.40
グラウンド,運動・公園施設,西浦,1972,54,2046.0,,,hakusho_r2kaitei.pdf,p.43
図書館,生涯学習施設,蒲郡北,1969,57,2006.0,125343000,307677,hakusho_r2kaitei.pdf,p.41
竹島水族館,観光施設,蒲郡南,1962,64,1996.0,73001000,365563,hakusho_r2kaitei.pdf,p.84
三谷公民館,公民館等施設,三谷,1971,55,1951.0,16427000,33161,hakusho_r2kaitei.pdf,p.34
文化広場,運動・公園施設,形原,1983,43,1857.0,12724000,27327,hakusho_r2kaitei.pdf,p.43
老人福祉センター寿楽荘,保健・福祉施設,大塚,1974,52,1610.0,53794000,39339,hakusho_r2kaitei.pdf,p.73
中部保育園,児童福祉施設,蒲郡北,1976,50,1308.0,144594000,138,hakusho_r2kaitei.pdf,p.60
三谷東保育園,児童福祉施設,三谷,1973,53,1229.0,127319000,117,hakusho_r2kaitei.pdf,p.60
形原南保育園,児童福祉施設,形原,1980,46,1201.0,106633000,83,hakusho_r2kaitei.pdf,p.60
西浦保育園,児童福祉施設,西浦,1982,44,1184.0,101654000,95,hakusho_r2kaitei.pdf,p.60
北部保育園,児童福祉施設,蒲郡北,1979,47,1140.0,118058000,117,hakusho_r2kaitei.pdf,p.60
府相保育園,児童福祉施設,蒲郡南,1970,56,1112.0,108936000,109,hakusho_r2kaitei.pdf,p.60
西浦公民館,公民館等施設,西浦,1976,50,1078.0,10263000,36884,hakusho_r2kaitei.pdf,p.34
養護老人ホーム,保健・福祉施設,大塚,1970,56,1070.0,76288000,6149,hakusho_r2kaitei.pdf,p.73
三谷西保育園,児童福祉施設,三谷,1971,55,1002.0,89152000,70,hakusho_r2kaitei.pdf,p.60
塩津保育園,児童福祉施設,塩津,1969,57,933.0,47301000,34,hakusho_r2kaitei.pdf,p.60
形原北保育園,児童福祉施設,形原,1967,59,921.0,63981000,83,hakusho_r2kaitei.pdf,p.60
形原保育園,児童福祉施設,形原,1970,56,904.0,92681000,80,hakusho_r2kaitei.pdf,p.60
東部保育園,児童福祉施設,蒲郡南,1969,57,812.0,49916000,56,hakusho_r2kaitei.pdf,p.60
大塚公民館,公民館等施設,大塚,1972,54,742.0,10485000,30241,hakusho_r2kaitei.pdf,p.34
浜町福祉センター,保健・福祉施設,塩津,1982,44,709.0,34351000,7970,hakusho_r2kaitei.pdf,p.73
東部公民館,公民館等施設,蒲郡南,1973,53,695.0,7287000,31902,hakusho_r2kaitei.pdf,p.34
大塚保育園,児童福祉施設,大塚,1970,56,684.0,61036000,65,hakusho_r2kaitei.pdf,p.60
小江公民館,公民館等施設,蒲郡南,1975,51,677.0,7702000,14807,hakusho_r2kaitei.pdf,p.34
西部保育園,児童福祉施設,蒲郡北,1977,49,660.0,67660000,46,hakusho_r2kaitei.pdf,p.60
