年度_西暦,年度_和暦,出典ファイル,住基人口,住基人口_基準日,歳入総額A_千円,歳出総額B_千円,歳入歳出差引C_千円,翌年度繰越財源D_千円,実質収支E_千円,地方税_千円,地方債現在高_千円,積立金現在高_千円,うち財政調整基金_千円,財政力指数,実質収支比率_%,経常収支比率_%,実質公債費比率_%,将来負担比率_%,ラスパイレス指数,人件費_千円,扶助費_千円,公債費_千円,普通建設事業費_千円
2006,平成18年度,kessancard_H18.pdf,,,25201000,23884000,1317000,,1186000,,33160000,,,0.9,7.8,90.8,12.6,,,,,,
2007,平成19年度,kessancard_H19.pdf,,,24909000,23881000,1028000,,829000,,32179000,11545000,1450000,0.93,,93.9,6.6,48.5,,,,,
2008,平成20年度,kessancard_H20.pdf,,,25084000,23706000,1379000,,1068000,,30576000,13599000,1483000,0.94,,92.6,5.1,5.2,,,,,
2009,平成21年度,kessancard_H21.pdf,,,29847000,28920000,927000,,786000,,30814000,13372000,1792000,0.93,,92.3,4.2,,,,,,
2010,平成22年度,kessancard_H22.pdf,80898,平成23.03.31,27210668,25579621,1631047,243869,1387178,13168332,30160337,3020542,1799600,0.89,8.2,87.1,2.8,,100.5,5599110,4813567,3468795,3598461
2011,平成23年度,kessancard_H23.pdf,80498,平成24.03.31,27815729,26568296,1247433,239045,1008388,13130842,29923796,3743191,2205200,0.86,6.1,89.3,1.2,,108.1,5630576,5214266,3198609,3691238
2012,平成24年度,kessancard_H24.pdf,82188,平成25.03.31,29173527,26585497,2588030,163140,2424890,,30454411,4691330,2809700,0.84,14.6,84.4,-0.5,,107.9,,,,
2013,平成25年度,kessancard_H25.pdf,81772,平成26.01.01,27782543,25599110,2183433,220929,1962504,13382358,29618766,5307373,3118000,0.84,11.6,90.5,-1.6,,100.9,5481976,5247750,3105683,2855301
2014,平成26年度,kessancard_H26.pdf,81717,平成27.01.01,28853771,26709391,2144380,153169,1991211,13610244,28708854,5719720,3194442,0.85,12.0,88.7,-1.9,,100.1,5243544,5670186,3265867,3030597
2015,平成27年度,zaisei_H27.xlsx,81291,平成28.01.01,29708099,27139137,2568962,452831,2116131,13577557,28148058,6059314,3231900,0.86,12.4,88.9,-1.3,,101.5,5643044,5598929,3116738,2900824
2016,平成28年度,kessancard_H28.pdf,80856,平成29.01.01,28974971,26651531,2323440,182353,2141087,13516252,27056458,6535690,3303700,0.86,12.6,89.9,-0.8,,101.4,5016244,5825051,3259127,2667544
2017,平成29年度,kessancard_H29.pdf,80483,平成30.01.01,29514652,27705011,1809641,78391,1731250,13897389,26266365,7396321,3677200,0.88,10.2,90.1,-0.4,,101.4,5137683,5882436,3257518,3150545
2018,平成30年度,zaisei_H30.xlsx,80531,平成31.01.01,30615349,28255695,2359654,451191,1908463,13794970,25292271,7816169,3686300,0.88,11.1,90.1,-0.2,,101.7,5310623,5897462,3224612,2706259
2019,令和元年度,zaisei_R01.xlsx,80239,令和02.01.01,34209979,31788149,2421830,334376,2087454,13974364,25500310,10128268,4026800,0.88,12.1,90.1,-0.2,,101.4,5357769,6285202,3102153,4607453
2020,令和2年度,zaisei_R02.xlsx,79621,令和03.01.01,46290516,42543387,3747129,1319826,2427303,13746346,25140387,13453414,4557800,0.87,13.7,89.3,-0.4,,101.2,5762278,6551522,2779011,3709063
2021,令和3年度,zaisei_R03.xlsx,79261,令和04.01.01,41711261,38165807,3545454,365391,3180063,13172829,24958348,16756203,5467200,0.85,17,85.4,-0.3,,101.2,6025072,8073759,2884861,4911663
2022,令和4年度,zaisei_R04.xlsx,78666,令和05.01.01,40895500,38971797,1923703,378961,1544742,13511152,23848475,22617129,6918868,0.83,8.5,90.7,0.1,,101.2,6189589,7126326,2871767,4533520
2023,令和5年度,zaisei_R05.xlsx,78140,令和06.01.01,48280353,46060219,2220134,249988,1970146,13535454,22434528,27350588,6103070,0.8,10.7,92.8,0.9,,100.9,6499740,7459606,2838243,4221456
2024,令和6年度,zaisei_R06.xlsx,77535,令和07.01.01,48723554,46583808,2139746,471754,1667992,13632692,22380361,32822293,5610776,0.79,8.8,94.1,2.5,,100.3,7130714,8228791,2710967,6743734
