施設名,施設分類_大分類,施設分類_小分類,所管部課,所在地,地区,延べ床面積合計_m2,建築面積合計_m2,建築年度_最古棟,老朽化度,支出6年平均_円,減価償却費_円,利用者数_人,市民1人当たりコスト_円,利用者1人当たりコスト_円,出典PDF,出典ページ
大塚駅第１自転車駐車場,その他施設,駅周辺施設,,,大塚,145.0,,1982,2.3,,,,,,hakusho_r2kaitei.pdf,p.91
三谷駅北自転車駐車場,その他施設,駅周辺施設,,,三谷,594.0,,1996,2.0,292000,,,,,hakusho_r2kaitei.pdf,p.91
交通安全教育センター,その他施設,その他,,,蒲郡北,276.0,,1973,3.8,0,,,,,hakusho_r2kaitei.pdf,p.92
蒲郡乗船センター,その他施設,その他,,,蒲郡南,185.0,,1991,4.4,77000,,,,,hakusho_r2kaitei.pdf,p.92
市営共同艇庫,その他施設,その他,,,大塚,1488.0,,2015,1.2,419000,,,,,hakusho_r2kaitei.pdf,p.92
勤労福祉会館,保健・福祉施設,福祉センター等,,,蒲郡南,3174.0,,1980,3.5,32425000,,,,,hakusho_r2kaitei.pdf,p.73
浜町福祉センター,保健・福祉施設,福祉センター等,,,塩津,709.0,,1982,3.1,34351000,,7970,,,hakusho_r2kaitei.pdf,p.73
中央子育て支援センター,保健・福祉施設,福祉センター等,,,蒲郡南,99.0,,1992,2.3,8097000,,7200,,,hakusho_r2kaitei.pdf,p.73
生きがいセンター,保健・福祉施設,福祉センター等,,,蒲郡南,2176.0,,1992,3.3,17808000,,45057,,,hakusho_r2kaitei.pdf,p.73
養護老人ホーム,保健・福祉施設,福祉センター等,,,大塚,1070.0,,1970,3.4,76288000,,6149,,,hakusho_r2kaitei.pdf,p.73
老人福祉センター寿楽荘,保健・福祉施設,福祉センター等,,,大塚,1610.0,,1974,2.9,53794000,,39339,,,hakusho_r2kaitei.pdf,p.73
保健医療センター,保健・福祉施設,福祉センター等,,,塩津,5855.0,,1993,3.4,958907000,,29167,,,hakusho_r2kaitei.pdf,p.73
ユトリーナ蒲郡,保健・福祉施設,福祉センター等,,,西浦,1977.0,,2000,3.9,37630000,,38153,,,hakusho_r2kaitei.pdf,p.73
東部保育園,児童福祉施設,保育園,,,蒲郡南,812.0,,1969,3.1,49916000,,56,,,hakusho_r2kaitei.pdf,p.60
北部保育園,児童福祉施設,保育園,,,蒲郡北,1140.0,,1979,3.2,118058000,,117,,,hakusho_r2kaitei.pdf,p.60
西部保育園,児童福祉施設,保育園,,,蒲郡北,660.0,,1977,2.7,67660000,,46,,,hakusho_r2kaitei.pdf,p.60
塩津保育園,児童福祉施設,保育園,,,塩津,933.0,,1969,3.1,47301000,,34,,,hakusho_r2kaitei.pdf,p.60
大塚保育園,児童福祉施設,保育園,,,大塚,684.0,,1970,3.1,61036000,,65,,,hakusho_r2kaitei.pdf,p.60
府相保育園,児童福祉施設,保育園,,,蒲郡南,1112.0,,1970,3.0,108936000,,109,,,hakusho_r2kaitei.pdf,p.60
三谷東保育園,児童福祉施設,保育園,,,三谷,1229.0,,1973,3.0,127319000,,117,,,hakusho_r2kaitei.pdf,p.60
大塚西保育園,児童福祉施設,保育園,,,大塚,530.0,,1972,3.1,39043000,,27,,,hakusho_r2kaitei.pdf,p.60
三谷西保育園,児童福祉施設,保育園,,,三谷,1002.0,,1971,3.0,89152000,,70,,,hakusho_r2kaitei.pdf,p.60
形原保育園,児童福祉施設,保育園,,,形原,904.0,,1970,2.8,92681000,,80,,,hakusho_r2kaitei.pdf,p.60
中部保育園,児童福祉施設,保育園,,,蒲郡北,1308.0,,1976,2.8,144594000,,138,,,hakusho_r2kaitei.pdf,p.60
南部保育園,児童福祉施設,保育園,,,蒲郡南,1088.0,,2011,1.1,152586000,,144,,,hakusho_r2kaitei.pdf,p.60
形原南保育園,児童福祉施設,保育園,,,形原,1201.0,,1980,3.1,106633000,,83,,,hakusho_r2kaitei.pdf,p.60
西浦保育園,児童福祉施設,保育園,,,西浦,1184.0,,1982,3.1,101654000,,95,,,hakusho_r2kaitei.pdf,p.60
形原北保育園,児童福祉施設,保育園,,,形原,921.0,,1967,3.6,63981000,,83,,,hakusho_r2kaitei.pdf,p.60
塩津北保育園,児童福祉施設,保育園,,,塩津,552.0,,1978,2.8,35740000,,35,,,hakusho_r2kaitei.pdf,p.60
おおつか児童館,児童福祉施設,児童館,,,大塚,486.0,,1999,2.2,16655000,,16329,,,hakusho_r2kaitei.pdf,p.66
みや児童館,児童福祉施設,児童館,,,三谷,490.0,,1996,2.2,12914000,,22708,,,hakusho_r2kaitei.pdf,p.66
がまごおり児童館,児童福祉施設,児童館,,,蒲郡南,591.0,,2011,1.3,13769000,,29471,,,hakusho_r2kaitei.pdf,p.66
ちゅうぶ児童館,児童福祉施設,児童館,,,蒲郡北,569.0,,2005,2.1,10741000,,31096,,,hakusho_r2kaitei.pdf,p.66
しおつ児童館,児童福祉施設,児童館,,,塩津,510.0,,2001,2.0,18649000,,25467,,,hakusho_r2kaitei.pdf,p.66
かたはら児童館,児童福祉施設,児童館,,,形原,349.0,,1991,2.9,11309000,,21090,,,hakusho_r2kaitei.pdf,p.66
にしうら児童館,児童福祉施設,児童館,,,西浦,491.0,,2001,2.0,10300000,,20490,,,hakusho_r2kaitei.pdf,p.66
市営丸山住宅,公営住宅施設,公営住宅,,,大塚,6951.0,,1997,2.8,13141000,,,,,hakusho_r2kaitei.pdf,p.79
市営大塚住宅,公営住宅施設,公営住宅,,,大塚,5228.0,,1973,3.4,24585000,,,,,hakusho_r2kaitei.pdf,p.79
市営白山住宅,公営住宅施設,公営住宅,,,蒲郡南,5112.0,,1990,3.0,3604000,,,,,hakusho_r2kaitei.pdf,p.79
市営力川住宅,公営住宅施設,公営住宅,,,三谷,589.0,,1974,3.4,3994000,,,,,hakusho_r2kaitei.pdf,p.79
市営貴船住宅,公営住宅施設,公営住宅,,,蒲郡北,855.0,,1952,4.0,1831000,,,,,hakusho_r2kaitei.pdf,p.79
市営大宮住宅,公営住宅施設,公営住宅,,,蒲郡北,494.0,,1958,4.1,1786000,,,,,hakusho_r2kaitei.pdf,p.79
市営月田住宅,公営住宅施設,公営住宅,,,塩津,225.0,,1954,4.1,1802000,,,,,hakusho_r2kaitei.pdf,p.79
