施設名,施設分類_大分類,小学校区,建築年度_最古棟,築年数_2026年時点,延べ床面積合計_m2,支出2024_円,利用者数2024_人,出典PDF,出典ページ
市役所,行政系施設,八町,1978,48,60220.88,9348318377,,kobetsu_gyousei.pdf,p.1-2
柳原住宅,行政系施設,多米,1972,54,44774.24,1137568020,439,kobetsu_gyousei.pdf,p.259-260
資源化センター,行政系施設,二川南,1979,47,36278.49,2881610438,,kobetsu_gyousei.pdf,p.227-228
西部住宅,行政系施設,汐田,1978,48,36145.06,1137568020,349,kobetsu_gyousei.pdf,p.239-240
才ノ神住宅,行政系施設,つつじが丘,1983,43,31525.54,1137568020,309,kobetsu_gyousei.pdf,p.271-272
競輪場,その他施設,東田,1963,63,19091.26,855167279,217792,kobetsu_sonota.pdf,p.1-2
空池住宅,行政系施設,栄,1982,44,18398.10,1137568020,189,kobetsu_gyousei.pdf,p.279-280
中野住宅,行政系施設,中野,1983,43,14115.68,1137568020,155,kobetsu_gyousei.pdf,p.247-248
アイプラザ豊橋,文化・社会教育系施設,磯辺,1976,50,13298.84,93993669,221535,kobetsu_bunka_shakaikyouiku.pdf,p.149-150
岩屋住宅,行政系施設,岩西,1971,55,11506.86,1137568020,103,kobetsu_gyousei.pdf,p.267-268
南部中学校,学校教育系施設,栄,1962,64,10345.05,77279266,656,kobetsu_gakkou.pdf,p.125-126
高師台中学校,学校教育系施設,幸,1973,53,10015.04,26057257,584,kobetsu_gakkou.pdf,p.127-128
青陵中学校,学校教育系施設,牛川,1960,66,9957.62,37476231,635,kobetsu_gakkou.pdf,p.115-116
東部中学校,学校教育系施設,飯村,1981,45,9410.97,102064938,756,kobetsu_gakkou.pdf,p.107-108
南稜中学校,学校教育系施設,植田,1976,50,9317.14,28859529,613,kobetsu_gakkou.pdf,p.133-134
本郷中学校,学校教育系施設,高師,1985,41,8907.63,26043008,572,kobetsu_gakkou.pdf,p.131-132
南陽中学校,学校教育系施設,磯辺,1984,42,8895.57,23830183,481,kobetsu_gakkou.pdf,p.129-130
岩田小学校,学校教育系施設,岩田,1966,60,8800.56,30481622,817,kobetsu_gakkou.pdf,p.1-2
中部中学校,学校教育系施設,新川,1960,66,8797.87,26288902,620,kobetsu_gakkou.pdf,p.111-112
栄生住宅,行政系施設,栄,1979,47,8700.75,1137568020,93,kobetsu_gyousei.pdf,p.277-278
栄小学校,学校教育系施設,栄,1968,58,8210.05,40190044,678,kobetsu_gakkou.pdf,p.65-66
幸小学校,学校教育系施設,幸,1976,50,8115.28,32419779,888,kobetsu_gakkou.pdf,p.33-34
二川小学校,学校教育系施設,二川,1967,59,8081.49,31618035,426,kobetsu_gakkou.pdf,p.91-92
吉田方小学校,学校教育系施設,吉田方,1964,62,7947.87,29662388,727,kobetsu_gakkou.pdf,p.29-30
豊岡中学校,学校教育系施設,岩田,1969,57,7914.71,27728171,513,kobetsu_gakkou.pdf,p.105-106
羽田中学校,学校教育系施設,花田,1961,65,7898.64,25158039,431,kobetsu_gakkou.pdf,p.119-120
飯村小学校,学校教育系施設,飯村,1982,44,7793.96,27481114,638,kobetsu_gakkou.pdf,p.59-60
