小学校区,施設数,延床面積合計_m2,築40年以上_施設数,築40年以上_延床m2,築40年以上_延床比率_%
吉田方,16,121990.2200,6,10917.5700,8.9
八町,16,93299.9700,12,89973.1000,96.4
二川南,11,80890.3200,4,45175.1900,55.8
多米,11,74341.9200,7,55128.8900,74.2
栄,10,54619.7300,6,47024.8400,86.1
汐田,6,49502.7100,3,40616.6900,82.0
磯辺,8,46232.9800,5,33599.3500,72.7
飯村,11,42820.3500,7,30210.3600,70.6
つつじが丘,6,40468.9900,1,31525.5400,77.9
岩西,7,36407.6500,4,22525.3000,61.9
植田,7,33629.5100,3,14838.1800,44.1
東田,7,33489.7600,6,33415.8800,99.8
牟呂,12,31011.6400,4,16234.1000,52.3
松山,13,28337.0800,3,2873.9100,10.1
鷹丘,9,27377.0700,3,7930.8100,29.0
幸,9,27311.7600,6,20944.5200,76.7
岩田,10,24411.2300,7,24059.8900,98.6
中野,5,23311.6300,5,23311.6300,100.0
松葉,8,22253.4700,5,12195.3600,54.8
福岡,9,22056.5500,5,12509.3600,56.7
玉川,13,20076.6900,5,13127.7200,65.4
高根,11,19544.8600,2,7171.4300,36.7
老津,7,19211.9800,5,13069.2900,68.0
二川,11,19051.0400,6,14901.4800,78.2
前芝,8,19021.8800,2,8617.5100,45.3
高師,8,18896.4800,4,16264.9600,86.1
大清水,10,18548.9300,3,5563.7300,30.0
牛川,6,18178.2500,5,18126.9500,99.7
向山,8,17717.8700,5,16502.8800,93.1
野依,7,16985.5300,1,51.3000,0.3
豊南,10,15861.0700,6,15265.6300,96.2
新川,3,15277.8100,1,8797.8700,57.6
旭,5,15123.3800,4,9055.1100,59.9
花田,5,14573.0700,3,14435.5700,99.1
羽根井,6,13266.7800,4,13113.8900,98.8
下地,6,12446.4700,4,12356.2900,99.3
細谷,6,8999.1200,4,8765.7800,97.4
西郷,10,8078.3300,5,7607.5500,94.2
豊,4,7609.8900,3,7538.5500,99.1
芦原,7,7283.9300,5,6950.0100,95.4
富士見,2,6744.2300,2,6744.2300,100.0
津田,6,6310.7200,3,4454.7400,70.6
石巻,6,5768.0500,4,5363.6100,93.0
大崎,4,5300.9500,2,4141.5900,78.1
大村,5,5213.4500,3,4977.7800,95.5
杉山,6,4953.5500,3,4476.4100,90.4
天伯,3,4131.4300,2,4060.0900,98.3
下条,4,3602.3300,2,3495.0900,97.0
嵩山,3,3523.6900,2,3452.3500,98.0
小沢,3,3480.3200,2,3408.9800,98.0
賀茂,3,3233.1200,2,3161.7800,97.8
谷川,3,3219.3300,2,3147.9900,97.8
