年度_西暦,年度_和暦,出典ファイル,住基人口,住基人口_基準日,歳入総額A_千円,歳出総額B_千円,歳入歳出差引C_千円,翌年度繰越財源D_千円,実質収支E_千円,地方税_千円,地方債現在高_千円,積立金現在高_千円,うち財政調整基金_千円,財政力指数,実質収支比率_%,経常収支比率_%,実質公債費比率_%,将来負担比率_%,ラスパイレス指数,人件費_千円,扶助費_千円,公債費_千円,普通建設事業費_千円
2002,平成14年度,kessancard_H14.pdf,357554,平成15.3.31,107775462,103273076,4502386,578451,3923935,58979854,110483170,13973715,11530343,0.87,5.4,82.4,,,,22790157,17144870,10835876,18722396
2003,平成15年度,kessancard_H15.pdf,358584,平成16.3.31,112016781,106298057,5718724,327195,5391529,58456712,114267128,14046291,11622046,0.90,7.9,80.2,,,,22782079,18416561,11451374,19740945
2004,平成16年度,kessancard_H16.pdf,359770,平成17.3.31,110847365,106264535,4582830,472676,4110154,58298823,116277760,12812135,10676574,0.93,6.1,84.6,,,,22369038,19518936,11248767,19220490
2005,平成17年度,kessancard_H17.pdf,360907,平成18.3.31,109071069,104397550,4673519,399343,4274176,59778286,116270847,11952509,10349513,0.96,6.3,85.0,12.1,,,21386602,19828300,11257175,17692337
2006,平成18年度,kessancard_H18.pdf,362887,平成19.3.31,110811493,105283744,5527749,464845,5062904,61356424,115555734,11826856,9998053,1.00,7.3,83.5,11.8,,,20837235,20285968,11580884,19095678
2007,平成19年度,kessancard_H19.pdf,363943,平成20.3.31,113418631,109283283,4135348,313973,3821375,65307405,113018159,12254001,10419800,1.04,5.3,84.8,8.3,95.5,,20483958,21070857,12164450,21154324
2008,平成20年度,kessancard_H20.pdf,365143,平成21.3.31,113359242,109233190,4126052,188430,3937622,65292613,112832122,10755807,8958084,1.05,5.4,86.0,8.7,86.6,,20612994,21723221,12279235,20535759
2009,平成21年度,kessancard_H21.pdf,365539,平成22.3.31,120252284,115930153,4322131,170057,4152074,62342197,110932576,9065698,7809830,1.05,5.8,89.0,8.9,88.0,,20575778,23261893,12339767,15939602
2010,平成22年度,kessancard_H22.pdf,365673,平成23.3.31,118081715,113156574,4925141,178101,4747040,61062541,109700776,8628624,7435070,1.00,6.6,85.5,9.0,73.5,,19493161,29285356,12355392,15159932
2011,平成23年度,kessancard_H23.pdf,365352,平成24.3.31,118376089,114034879,4341210,98200,4243010,62021255,107204501,10227798,9059839,0.96,5.9,86.8,8.6,57.1,,19878775,30727738,12108015,13209587
2012,平成24年度,kessancard_H24.pdf,379678,平成25.3.31,119026226,114956597,4069629,262459,3807170,61103790,105958465,9124648,7966636,0.936,5.2,89.5,8.1,52.0,,19425750,30586530,12069451,15323950
2013,平成25年度,kessancard_H25.pdf,379582,平成26.1.1,124629010,119768459,4860551,244954,4615597,62155275,105347825,11538342,8106775,0.938,6.3,86.9,7.4,49.3,,18714609,30761735,12040985,17916763
2014,平成26年度,kessancard_H26.pdf,378890,平成27.1.1,125771261,121017021,4754240,611089,4143151,63723895,102783121,9223791,8098320,0.946,5.7,89.0,7.1,39.8,,18819267,32858063,11751657,18190151
2015,平成27年度,kessancard_H27.pdf,378485,平成28.1.1,122543337,118074888,4468449,245179,4223270,63308684,99831707,8280232,7167648,0.957,5.9,87.0,6.6,40.1,,19681725,32146388,10719934,13720831
2016,平成28年度,kessancard_H28.pdf,378018,平成29.1.1,122554519,118640632,3913887,370125,3543762,63771501,96837314,6750343,5459208,0.974,4.9,89.8,5.5,48.0,,19112183,33436006,9859500,15435006
2017,平成29年度,kessancard_H29.pdf,377561,平成30.1.1,126088369,121913449,4174920,132303,4042617,64829235,96207575,6501831,5140932,0.984,5.6,88.0,4.4,46.6,,19823394,33994242,9513921,18763978
2018,平成30年度,kessancard_H30.pdf,377303,平成31.1.1,130755946,127557619,3198327,379613,2818714,65381174,97335931,7869291,6010677,0.990,3.9,87.3,3.8,49.9,,20213877,33237893,9404321,19953201
2019,令和元年度,kessancard_R01.pdf,377429,令和2.1.1,132246178,128320336,3925842,278473,3647369,66310242,99498077,7367282,5261195,0.993,5.0,88.5,3.7,50.8,,20449106,34782364,9152104,22473774
2020,令和2年度,kessancard_R02.pdf,375329,令和3.1.1,179939648,174728401,5211247,452338,4758909,65636420,100346591,10635965,5298163,1.000,6.4,87.6,3.8,42.4,,21003637,36273099,8835676,22539152
2021,令和3年度,kessancard_R03.pdf,372604,令和4.1.1,149342014,143308125,6033889,800406,5233483,64061053,102126858,13546481,7673704,0.995,7.0,87.2,3.8,33.3,,20774062,45717029,8979171,22273168
2022,令和4年度,kessancard_R04.pdf,370761,令和5.1.1,143690763,138054233,5636530,1481051,4155479,65321527,99290284,15175767,9149359,0.990,5.6,89.4,4.4,27.8,,20961442,41497856,9628591,17959456
2023,令和5年度,kessancard_R05.pdf,368686,令和6.1.1,147602140,144248485,3353655,501844,2851811,66142894,98449049,15718074,8168967,0.982,3.8,90.0,5.1,27.1,,20671639,43215183,9954746,21669018
2024,令和6年度,kessancard_R06.pdf,366089,令和7.1.1,153045496,150964681,2080815,566879,1513936,64883224,98976977,14074677,6200511,0.982,1.9,92.0,5.7,27.5,,23224660,47625775,9864964,21856959
