施設名,施設分類_大分類,施設分類_小分類,所管部課,所在地,小学校区,延べ床面積合計_m2,建築面積合計_m2,建築年度_最古棟,収入2024_円,支出2024_円,減価償却費2024_円,利用者数2024_人,市民1人当たりコスト2024_円,利用者1人当たりコスト2024_円,出典PDF,出典ページ
岩田校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市中岩田四丁目１番地の２,岩田,360.04,180.40,1981,10,4732947,2437082,20947,20,343,kobetsu_bunka_shakaikyouiku.pdf,p.1-2
豊校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市西岩田五丁目６番地の２,豊,360.59,195.17,1981,57730,3119586,2413025,11673,15,470,kobetsu_bunka_shakaikyouiku.pdf,p.3-4
東田校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市仁連木町１５番地,東田,360.00,199.08,1979,3420,3280730,2412192,20595,16,277,kobetsu_bunka_shakaikyouiku.pdf,p.5-6
松葉校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市大橋通三丁目１０７番地,松葉,458.50,241.90,1979,6510,2954067,2749456,10266,16,555,kobetsu_bunka_shakaikyouiku.pdf,p.7-8
下地校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市下地町字宮前６８番地,下地,360.59,195.17,1982,2070,3050776,2413025,17002,15,322,kobetsu_bunka_shakaikyouiku.pdf,p.9-10
大村校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市大村町字地之神７番地の４,大村,362.74,183.10,1981,0,2878989,2407739,9673,15,547,kobetsu_bunka_shakaikyouiku.pdf,p.11-12
津田校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市横須賀町宮前１０番地の２,津田,373.04,193.80,2009,19340,3861585,2490366,9026,18,702,kobetsu_bunka_shakaikyouiku.pdf,p.13-14
牟呂校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市牟呂中村町１番地の４,牟呂,363.29,197.87,1982,160,4279250,2413025,19293,19,347,kobetsu_bunka_shakaikyouiku.pdf,p.15-16
吉田方校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市吉川町１１８番地,吉田方,501.01,170.00,1982,6660,2911899,3278179,11128,17,556,kobetsu_bunka_shakaikyouiku.pdf,p.17-18
高師校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市上野町字上原９９番地の１０,高師,360.00,199.08,1980,1110,2809628,2412192,11676,15,448,kobetsu_bunka_shakaikyouiku.pdf,p.19-20
幸校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市西幸町字笠松１８４番地の１,幸,360.04,180.40,1981,40000,3146797,2484497,15225,16,368,kobetsu_bunka_shakaikyouiku.pdf,p.21-22
芦原校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市芦原町字嵩山地３６番地の４,芦原,360.00,199.08,1980,30,3998816,2430282,19606,18,328,kobetsu_bunka_shakaikyouiku.pdf,p.23-24
福岡校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市橋良町字東中山３番地の２,福岡,360.59,195.17,1981,20,4566066,2413025,24149,20,290,kobetsu_bunka_shakaikyouiku.pdf,p.25-26
磯辺校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市駒形町字丸山６０番地,磯辺,362.70,201.78,1979,0,2998886,2412192,6217,15,871,kobetsu_bunka_shakaikyouiku.pdf,p.27-28
大崎校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市大崎町字柿ノ木１６番地,大崎,384.70,223.78,1979,350,4225445,2566847,9937,19,684,kobetsu_bunka_shakaikyouiku.pdf,p.29-30
野依校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市野依町字諏訪１４９番地の１,野依,387.60,193.80,2013,17760,3693058,2581995,15459,18,405,kobetsu_bunka_shakaikyouiku.pdf,p.31-32
植田校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市植田町字池下６３番地の１,植田,362.70,201.78,1980,2520,3237466,2429027,14109,16,402,kobetsu_bunka_shakaikyouiku.pdf,p.33-34
牛川校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市牛川町字中郷１３番地の２８,牛川,360.00,199.08,1980,8630,3602661,2430282,47448,17,127,kobetsu_bunka_shakaikyouiku.pdf,p.35-36
鷹丘校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市西小鷹野三丁目７番地の１,鷹丘,360.00,199.08,1979,1110,2879690,2265557,8972,15,574,kobetsu_bunka_shakaikyouiku.pdf,p.37-38
下条校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市下条東町字西浦６１番地の３,下条,362.70,201.78,1979,60,3653217,2412192,29710,17,205,kobetsu_bunka_shakaikyouiku.pdf,p.39-40
多米校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市多米中町二丁目２７番地の１,多米,383.85,222.93,1979,2060,2925489,2560871,22477,15,244,kobetsu_bunka_shakaikyouiku.pdf,p.41-42
旭校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市旭町字旭５３５番地の２,旭,360.00,199.08,1979,43350,3071883,2412192,17667,15,308,kobetsu_bunka_shakaikyouiku.pdf,p.43-44
栄校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市北山町字東浦４６番地の１２,栄,360.59,195.17,1981,19130,3343078,2426773,17528,16,329,kobetsu_bunka_shakaikyouiku.pdf,p.45-46
天伯校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市天伯町字高田山１３７番地の１,天伯,363.29,197.87,1982,2220,3540422,2413025,19783,17,301,kobetsu_bunka_shakaikyouiku.pdf,p.47-48
大清水校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市南大清水町字元町７８番地,大清水,363.29,197.87,1982,0,3215667,2413025,23975,16,235,kobetsu_bunka_shakaikyouiku.pdf,p.49-50
向山校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市向山西町５番地の１,向山,360.59,195.17,1982,8340,2980562,2413025,16921,15,319,kobetsu_bunka_shakaikyouiku.pdf,p.51-52
前芝校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市前芝町字塩見５番地の１,前芝,562.60,283.10,2013,363430,9080252,4191019,13055,36,989,kobetsu_bunka_shakaikyouiku.pdf,p.53-54
西郷校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市石巻平野町字中野田１００番地の３,西郷,362.70,201.78,1980,0,3813257,2412192,21853,17,285,kobetsu_bunka_shakaikyouiku.pdf,p.55-56
玉川校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市石巻本町字野添１１番地の１（玉川小学校敷地内）,玉川,363.29,197.87,1982,1910,3618943,2413025,15778,17,383,kobetsu_bunka_shakaikyouiku.pdf,p.57-58
嵩山校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市嵩山町字宮下８３番地の１,嵩山,363.29,197.87,1981,1120,3649068,2413025,27443,17,221,kobetsu_bunka_shakaikyouiku.pdf,p.59-60
石巻校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市石巻町字西浦１６番地,石巻,362.70,201.78,1980,0,5549167,2412192,13354,22,597,kobetsu_bunka_shakaikyouiku.pdf,p.61-62
石巻校区市民館金田分館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市石巻町字藪下１番地の１,石巻,346.57,346.57,1993,24650,3830831,2181039,7506,17,798,kobetsu_bunka_shakaikyouiku.pdf,p.63-64
谷川校区市民館,文化・社会教育系施設,コミュニティ関連施設,市民協創部 市民協働推進課,愛知県豊橋市中原町字東ノ谷１番地の１１,谷川,362.70,201.78,1979,3010,3165382,2412192,19885,16,281,kobetsu_bunka_shakaikyouiku.pdf,p.65-66
